//-------------------------------------------------------------------------------------------------------
// This file was contributed and created by Lancelot
// Modified and Fixed by Bigman 30/06/2013
// Additional content contributed by Wishdream 11/07/2015
//-------------------------------------------------------------------------------------------------------
// Group   Item Group found in ItemListSettings.ini file
// Index   Item Index found in ItemListSettings.ini file
// Level   [1 - Can change Level, 0 - cant]
// Option   [1 - Can change Option, 0 - cant]
// Dur   [1 - Can modify Durability, 0 - cant]
// Skill  [1 - Can have Skill, 0 - cant]
// Luck  [1 - Can have Luck, 0 - cant]
// Exc  [1 - Can be Excellent, 0 - cant]
// AncT1   Tier 1 Ancient Index [-1 - not Ancient, Other - Ancient Index from AncientItemOption.ini]
// AncT2   Tier 2 Ancient Index [-1 - not Ancient, Other - Ancient Index from AncientItemOption.ini]
// Socket   [1 - Can have Socket, 0 - cant]
// Harmony   [1 - Can have Harmony, 0 - cant]
// Refinery   [1 - Can have Refinery, 0 - cant]
//-------------------------------------------------------------------------------------------------------
//Group Index Level Option Dur Skill Luck Exc AncT1 AnctT2 Socket Harmony Refinery


//Black Dragon - Mahes (50)
9 16 1 1 1 0 1 1 50 -1 0 1 0


//Eclipse - Bes (51)
9 35 1 1 1 0 1 1 51 -1 0 1 0


//Iris - Serket (52)
9 36 1 1 1 0 1 1 52 -1 0 1 0
7 36 1 1 1 0 1 1 52 -1 0 1 0


//Valiant - Apis (53)
11 37 1 1 1 0 1 1 53 -1 0 1 0


//Ancient - Hapy (55)
8 41 1 1 1 0 1 1 55 -1 0 1 0
11 41 1 1 1 0 1 1 55 -1 0 1 0


//Dark Steel - Khons (54)
10 27 1 1 1 0 1 1 54 -1 0 1 0
11 27 1 1 1 0 1 1 54 -1 0 1 0


//Dark Phoenix - Bragi (57)
7 17 1 1 1 0 1 1 57 -1 0 1 0
8 17 1 1 1 0 1 1 57 -1 0 1 0
9 17 1 1 1 0 1 1 57 -1 0 1 0
11 17 1 1 1 0 1 1 57 -1 0 1 0


//Grand Soul - Alvis (58)
8 18 1 1 1 0 1 1 58 -1 0 1 0
10 18 1 1 1 0 1 1 58 -1 0 1 0
11 18 1 1 1 0 1 1 58 -1 0 1 0


//Holy Spirit - Frigg (59)
8 19 1 1 1 0 1 1 59 -1 0 1 0
9 19 1 1 1 0 1 1 59 -1 0 1 0
11 19 1 1 1 0 1 1 59 -1 0 1 0


//Thunder Hawk - Tyr (60)
10 20 1 1 1 0 1 1 60 -1 0 1 0
9 20 1 1 1 0 1 1 60 -1 0 1 0
11 20 1 1 1 0 1 1 60 -1 0 1 0


//Glorious - Surt (61)
8 38 1 1 1 0 1 1 61 -1 0 1 0
7 38 1 1 1 0 1 1 61 -1 0 1 0
10 38 1 1 1 0 1 1 61 -1 0 1 0
11 38 1 1 1 0 1 1 61 -1 0 1 0


//Demonic - Elune (62)
8 42 1 1 1 0 1 1 62 -1 0 1 0
9 42 1 1 1 0 1 1 62 -1 0 1 0
10 42 1 1 1 0 1 1 62 -1 0 1 0


//Piercing Groove - Magni (63)
8 61 1 1 1 0 1 1 63 -1 0 1 0
7 61 1 1 1 0 1 1 63 -1 0 1 0
11 61 1 1 1 0 1 1 63 -1 0 1 0


//Bronze - Hyperion(3) / Mist(4)
7 0 1 1 1 0 1 1 4 -1 0 1 0
8 0 1 1 1 0 1 1 3 -1 0 1 0
9 0 1 1 1 0 1 1 3 4 0 1 0
10 0 1 1 1 0 1 1 4 -1 0 1 0
11 0 1 1 1 0 1 1 3 -1 0 1 0


//Dragon - Hyon(11) / Vicious(12) / LUCKY Hegaton(44)
7 1 1 1 1 0 1 1 11 12 0 1 0
8 1 1 1 1 0 1 1 12 -1 0 1 0
9 1 1 1 1 0 1 1 12 -1 0 1 0
10 1 1 1 1 0 1 1 11 -1 0 1 0
11 1 1 1 1 0 1 1 11 -1 0 1 0
0 14 1 1 1 1 1 1 11 -1 0 1 0
7 67 1 1 1 0 1 0 44 -1 0 0 0
8 67 1 1 1 0 1 0 44 -1 0 0 0
9 67 1 1 1 0 1 0 44 -1 0 0 0
10 67 1 1 1 0 1 0 44 -1 0 0 0
11 67 1 1 1 0 1 0 44 -1 0 0 0


//Pad - Apollo(13) / Barnake(14)
7 2 1 1 1 0 1 1 13 14 0 1 0
8 2 1 1 1 0 1 1 13 -1 0 1 0
9 2 1 1 1 0 1 1 13 14 0 1 0
10 2 1 1 1 0 1 1 13 -1 0 1 0
11 2 1 1 1 0 1 1 14 -1 0 1 0
5 0 1 1 1 0 1 1 13 -1 0 1 0


//Legendary - Anubis(19) / Enis(20) / LUCKY Taros(46)
7 3 1 1 1 0 1 1 19 20 0 1 0
8 3 1 1 1 0 1 1 19 20 0 1 0
9 3 1 1 1 0 1 1 20 -1 0 1 0
10 3 1 1 1 0 1 1 19 -1 0 1 0
11 3 1 1 1 0 1 1 20 -1 0 1 0
7 69 1 1 1 0 1 0 46 -1 0 0 0
8 69 1 1 1 0 1 0 46 -1 0 0 0
9 69 1 1 1 0 1 0 46 -1 0 0 0
10 69 1 1 1 0 1 0 46 -1 0 0 0
11 69 1 1 1 0 1 0 46 -1 0 0 0


//Bone - Evis(15) / Sylion(16)
7 4 1 1 1 0 1 1 16 -1 0 1 0
8 4 1 1 1 0 1 1 15 16 0 1 0
9 4 1 1 1 0 1 1 15 -1 0 1 0
10 4 1 1 1 0 1 1 16 -1 0 1 0
11 4 1 1 1 0 1 1 15 16 0 1 0


//Leather - Warrior(1) / Anonymous(2)
7 5 1 1 1 0 1 1 1 2 0 1 0
8 5 1 1 1 0 1 1 1 -1 0 1 0
9 5 1 1 1 0 1 1 1 2 0 1 0
10 5 1 1 1 0 1 1 1 -1 0 1 0
11 5 1 1 1 0 1 1 1 2 0 1 0
2 1 1 1 1 1 1 1 1 -1 0 1 0
6 0 1 1 1 0 1 1 2 -1 0 1 0


//Scale - Eplete(5) / Berserker(6) / LUCKY Moros(39)
7 6 1 1 1 0 1 1 5 6 0 1 0
8 6 1 1 1 0 1 1 5 6 0 1 0
9 6 1 1 1 0 1 1 5 6 0 1 0
10 6 1 1 1 0 1 1 6 -1 0 1 0
11 6 1 1 1 0 1 1 6 -1 0 1 0
6 9 1 1 1 1 1 1 5 -1 0 1 0
7 62 1 1 1 0 1 0 39 -1 0 0 0
8 62 1 1 1 0 1 0 39 -1 0 0 0
9 62 1 1 1 0 1 0 39 -1 0 0 0
10 62 1 1 1 0 1 0 39 -1 0 0 0
11 62 1 1 1 0 1 0 39 -1 0 0 0


//Sphinx - Heras(17) / Minet(18) / LUCKY Hades(41)
7 7 1 1 1 0 1 1 17 -1 0 1 0
8 7 1 1 1 0 1 1 17 18 0 1 0
9 7 1 1 1 0 1 1 17 18 0 1 0
10 7 1 1 1 0 1 1 17 -1 0 1 0
11 7 1 1 1 0 1 1 17 18 0 1 0
6 6 1 1 1 1 1 1 17 -1 0 1 0
7 64 1 1 1 0 1 0 41 -1 0 0 0
8 64 1 1 1 0 1 0 41 -1 0 0 0
9 64 1 1 1 0 1 0 41 -1 0 0 0
10 64 1 1 1 0 1 0 41 -1 0 0 0
11 64 1 1 1 0 1 0 41 -1 0 0 0


//Brass - Garuda(7) / Cloud(8)
7 8 1 1 1 0 1 1 8 -1 0 1 0
8 8 1 1 1 0 1 1 7 -1 0 1 0
9 8 1 1 1 0 1 1 7 8 0 1 0
10 8 1 1 1 0 1 1 7 -1 0 1 0
11 8 1 1 1 0 1 1 7 -1 0 1 0


// Plate - Kantata(9) / Rave(10)
7 9 1 1 1 0 1 1 10 -1 0 1 0
8 9 1 1 1 0 1 1 9 10 0 1 0
9 9 1 1 1 0 1 1 10 -1 0 1 0
10 9 1 1 1 0 1 1 9 -1 0 1 0
11 9 1 1 1 0 1 1 9 -1 0 1 0


//Vine - Ceto(21) / Drake(22)
7 10 1 1 1 0 1 1 21 22 0 1 0
8 10 1 1 1 0 1 1 22 -1 0 1 0
9 10 1 1 1 0 1 1 21 22 0 1 0
10 10 1 1 1 0 1 1 21 -1 0 1 0
11 10 1 1 1 0 1 1 21 22 0 1 0
0 2 1 1 1 0 1 1 21 -1 0 1 0


//Silk - Gaia(23) / Fase(24) / LUCKY Dione(40)
7 11 1 1 1 0 1 1 23 -1 0 1 0
8 11 1 1 1 0 1 1 23 -1 0 1 0
9 11 1 1 1 0 1 1 23 24 0 1 0
10 11 1 1 1 0 1 1 23 24 0 1 0
11 11 1 1 1 0 1 1 24 -1 0 1 0
4 9 1 1 1 1 1 1 23 -1 0 1 0
7 63 1 1 1 0 1 0 40 -1 0 0 0
8 63 1 1 1 0 1 0 40 -1 0 0 0
9 63 1 1 1 0 1 0 40 -1 0 0 0
10 63 1 1 1 0 1 0 40 -1 0 0 0
11 63 1 1 1 0 1 0 40 -1 0 0 0


//Wind - Odin(25) / Elvian(26) / LUCKY Ophion(42)
7 12 1 1 1 0 1 1 25 -1 0 1 0
